Feedstock,Biogas processing,Biogas upgrading,TSD,Digestate storage
0.00029,0.001,0.001,0.000508347,0.005152941
0.000318202,0.001,0.001,0.000961538,0.021791045
0.000377128,0.001,0.001,0.00490566,0.04358209
0.002,0.001,0.002,0.005,0.04358209
0.004,0.001017708,0.007,0.006257143,0.065373134
0.004,0.001679579,0.008,0.006804798,0.065373134
0.005,0.006,0.008,0.008,0.065373134
0.006,0.01,0.009,0.009324567,0.089
0.0069,0.011,0.01,0.01,0.1
0.01,0.020354162,0.01,0.010267131,0.1
0.013,0.023407287,0.012,0.011517165,0.1
0.016,0.035944303,0.013,0.012,0.104497607
0.016,0.038647059,0.016,0.013,0.13
0.016,0.06,0.017,0.017275748,0.130746269
0.017,0.076252723,0.017,0.017520216,0.130746269
0.021791045,0.100114286,0.017,0.019,0.130746269
0.021791045,0.114379085,0.033,0.020141064,0.152537313
0.021791045,0.13,0.033,0.020359788,0.159860578
0.031,0.143890602,0.033,0.020414395,0.174328358
0.033426929,0.15795207,0.033,0.022857143,0.174328358
0.04358209,0.17,0.033,0.024,0.196119403
0.04358209,0.1752,0.04,0.025764706,0.196119403
0.04358209,0.2,0.05,0.026573751,0.196119403
0.04358209,0.225071225,0.05,0.035,0.2
0.04358209,0.252391614,0.07,0.038,0.2
0.04358209,0.257786195,0.07,0.038,0.2
0.065373134,0.259259259,0.072,0.038126362,0.2
0.065373134,0.267806268,0.072,0.041269841,0.2
0.065373134,0.3,0.079,0.044,0.203541624
0.1,0.3125,0.085,0.046802721,0.217910448
0.1,0.32723064,0.09,0.050057143,0.217910448
0.10620915,0.341880342,0.092,0.050057143,0.22
0.125142857,0.345117845,0.092,0.051529412,0.239701493
0.127440166,0.364672365,0.092,0.060444,0.239701493
0.158,0.371422559,0.098,0.06132,0.24
0.16,0.384615385,0.1,0.078054621,0.27
0.176994836,0.4,0.12,0.078976035,0.276726246
0.189,0.419934343,0.12,0.1,0.291820405
0.2,0.427350427,0.13,0.152,0.296027586
0.2,0.458986363,0.13,0.156156522,0.3
0.21864068,0.5,0.14,0.252529655,0.3
0.231882353,0.5,0.22,0.3,0.3
0.249826509,0.5,0.22,0.314,0.4
0.27,0.512415825,0.23,0.422413242,0.4
0.30651341,0.531045752,0.23,0.7,0.4
0.311,0.540403012,0.25,0.73,0.4
0.451722191,0.542857143,0.25,1,0.4
0.727272727,0.567010309,0.295,1.11,0.43
0.872727273,0.568322214,0.3,,0.469219219
1.148321739,0.576368876,0.3,,0.5
1.7,0.585740254,0.319,,0.53
3.1,0.596623981,0.336,,0.57022378
,0.6,0.4,,0.584196367
,0.615,0.403,,0.6
,0.7,0.48,,0.6
,0.7,0.505050505,,0.7
,0.732193732,0.51,,0.7
,0.820515053,0.56,,0.82
,0.849002849,0.6,,0.83
,1,0.72,,0.85
,1.020622896,0.79928952,,0.89
,1.094771242,0.9,,0.901630691
,1.28600823,0.96,,1
,1.417975567,1,,1.090133696
,1.5,1.1,,1.2
,1.518714482,1.2,,1.227552707
,1.6,1.3,,1.32
,1.628943759,1.49,,1.386784512
,1.653439153,1.5,,1.43
,1.653439153,1.5,,1.5
,1.677934548,1.7,,1.5
,1.751420733,1.7,,1.538461538
,1.76366843,1.97,,1.626814901
,1.775916128,2,,1.639344262
,1.8,2,,1.8
,1.800411523,2,,1.8
,1.820517773,2.1,,1.8
,1.866395191,2.1,,1.9
,1.873897707,3.1,,1.9
,1.898393102,3.983895652,,2.159652857
,1.984126984,4.7,,2.16
,1.984126984,5.3,,2.247352543
,2,5.34,,2.32
,2.045365471,5.5,,2.5
,2.082108564,,,2.564102564
,2.180090143,,,2.7
,2.180090143,,,2.735042735
,2.193620322,,,2.96506734
,2.5,,,3
,2.522068096,,,3.01994302
,3.01,,,3.08
,3.6,,,3.278688525
,3.88,,,3.3
,4,,,3.33
,9.9,,,3.421342678
,,,,3.43
,,,,3.56
,,,,3.703703704
,,,,3.773539718
,,,,3.9
,,,,3.988603989
,,,,4.4
,,,,4.48
,,,,5.207100592
,,,,5.434782609
,,,,5.63
,,,,5.783475783
,,,,6.793478261
,,,,6.793478261
,,,,8.152173913
,,,,8.152173913
,,,,8.152173913
,,,,8.152173913
,,,,8.2
,,,,8.423913043
,,,,8.423913043
,,,,10.3
,,,,10.36
,,,,12
,,,,14.75
,,,,
,,,,
,,,,
